,name,address,distance,rating,comment,price
231,Hamp Court Palace Taipei,"Zhongshan District, Taipei",2.1 k,8.7,Excellent,"TWD 8,820"
232,CHECK inn Taipei Nanjing,"Zhongshan District, Taipei",2.1 k,8.2,Very Good,"TWD 4,000"
233,CY Hotel,"Zhongshan District, Taipei",2.1 k,8.5,Very Good,"TWD 4,320"
234,Rido Hotel,"Daan District, Taipei",2.1 k,8.6,Excellent,"TWD 3,754"
235,K Hotel Taipei Songjiang,"Zhongshan District, Taipei",2.1 k,8.6,Excellent,"TWD 4,655"
236,CHECK inn Taipei Songjiang,"Zhongshan District, Taipei",2.2 k,8.3,Very Good,"TWD 4,118"
237,Taipei Discover Hostel,"Zhongshan District, Taipei",2.2 k,8.7,Excellent,"TWD 1,700"
238,Dandy Hotel-Daan Park Branch,"Daan District, Taipei",2.2 k,8.8,Excellent,"TWD 7,200"
239,The Landis Taipei,"Zhongshan District, Taipei",2.2 k,8.9,Excellent,"TWD 8,237"
240,Jolley Hotel,"Zhongshan District, Taipei",2.2 k,9.3,Wonderful,"TWD 6,536"
241,Waikoloa Hotel,"Zhongshan District, Taipei",2.2 k,8.6,Excellent,"TWD 3,600"
242,"Fullon Hotel Taipei, Central","Daan District, Taipei",2.2 k,8.4,Very Good,"TWD 5,382"
243,Cai She Hotel,"Zhongshan District, Taipei",2.3 k,7.4,Good,"TWD 3,600"
244,Royal Rose Hotel Shuangcheng Hall,"Zhongshan District, Taipei",2.3 k,8.3,Very Good,"TWD 4,447"
245,Unite Hotel,"Zhongshan District, Taipei",2.3 k,7.7,Good,"TWD 3,883"
246,Hotel COZZI Minsheng Taipei,"Zhongshan District, Taipei",2.3 k,8.7,Excellent,"TWD 5,200"
247,Dasin,"Zhongshan District, Taipei",2.3 k,7.0,Good,"TWD 2,750"
248,Meadow Hotel Taipei,"Zhongshan District, Taipei",2.3 k,7.2,Good,"TWD 3,340"
